,basicblock,benchmark,count,function,max,mean,median,min,run,seed,stddev
191,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,916.289,1000.0,0.0,2,4,276.955
192,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,915.641,1000.0,0.0,2,5,277.926
193,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,904.527,1000.0,0.0,2,6,293.869
194,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,913.334,1000.0,0.0,2,7,281.347
195,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,916.958,1000.0,0.0,2,8,275.947
196,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,912.633,1000.0,0.0,2,9,282.376
197,for.body,automotive-bitcount,1125000.0,bit_shifter,2000.0,902.646,1000.0,0.0,2,10,296.441
198,for.body89,automotive-susan,1.0,susan_smoothing,107033000.0,53516500.0,8000017.0,107033000.0,1,0,53516500.0
199,for.body89,automotive-susan,1.0,susan_smoothing,114221000.0,57110500.0,8000017.0,114221000.0,1,1,57110500.0
200,for.body89,automotive-susan,1.0,susan_smoothing,116590000.0,58295000.0,8000017.0,116590000.0,1,2,58295000.0
201,for.body89,automotive-susan,1.0,susan_smoothing,110745000.0,55372500.0,8000017.0,110745000.0,1,3,55372500.0
202,for.body89,automotive-susan,1.0,susan_smoothing,115406000.0,57703000.0,8000017.0,115406000.0,1,4,57703000.0
203,for.body89,automotive-susan,1.0,susan_smoothing,122435000.0,61217500.0,8000017.0,122435000.0,1,6,61217500.0
204,for.body89,automotive-susan,1.0,susan_smoothing,117854000.0,58927000.0,8000017.0,117854000.0,1,5,58927000.0
205,for.body89,automotive-susan,1.0,susan_smoothing,116669000.0,58334500.0,8000017.0,116669000.0,1,7,58334500.0
206,for.body89,automotive-susan,1.0,susan_smoothing,113194000.0,56597000.0,8000017.0,113194000.0,1,8,56597000.0
207,for.body89,automotive-susan,1.0,susan_smoothing,110746000.0,55373000.0,8000017.0,110746000.0,1,9,55373000.0
208,for.body89,automotive-susan,1.0,susan_smoothing,114063000.0,57031500.0,8000017.0,114063000.0,1,10,57031500.0
209,for.body89,automotive-susan,1.0,susan_smoothing,107033000.0,53516500.0,8000017.0,107033000.0,2,0,53516500.0
210,for.body89,automotive-susan,1.0,susan_smoothing,114221000.0,57110500.0,8000017.0,114221000.0,2,1,57110500.0
211,for.body89,automotive-susan,1.0,susan_smoothing,116590000.0,58295000.0,8000017.0,116590000.0,2,2,58295000.0
212,for.body89,automotive-susan,1.0,susan_smoothing,110745000.0,55372500.0,8000017.0,110745000.0,2,3,55372500.0
213,for.body89,automotive-susan,1.0,susan_smoothing,115406000.0,57703000.0,8000017.0,115406000.0,2,4,57703000.0
214,for.body89,automotive-susan,1.0,susan_smoothing,122435000.0,61217500.0,8000017.0,122435000.0,2,6,61217500.0
215,for.body89,automotive-susan,1.0,susan_smoothing,117854000.0,58927000.0,8000017.0,117854000.0,2,5,58927000.0
216,for.body89,automotive-susan,1.0,susan_smoothing,116669000.0,58334500.0,8000017.0,116669000.0,2,7,58334500.0
217,for.body89,automotive-susan,1.0,susan_smoothing,113194000.0,56597000.0,8000017.0,113194000.0,2,8,56597000.0
218,for.body89,automotive-susan,1.0,susan_smoothing,110746000.0,55373000.0,8000017.0,110746000.0,2,9,55373000.0
219,for.body89,automotive-susan,1.0,susan_smoothing,114064000.0,57032000.0,8000017.0,114064000.0,2,10,57032000.0
220,for.body138,backprop,1.0,bpnn_train_kernel,1049187000.0,524594000.0,8000017.0,1049187000.0,1,0,524594000.0
221,for.body138,backprop,1.0,bpnn_train_kernel,1066572000.0,533286000.0,8000017.0,1066572000.0,1,1,533286000.0
222,for.body138,backprop,1.0,bpnn_train_kernel,1084317000.0,542158000.0,8000017.0,1084317000.0,1,2,542158000.0
